Descripción,Diferencia de defunciones
Enfermedades del aparato respiratorio,25846.0
COVID-19,23812.0
Enfermedades del aparato circulatorio,13002.0
Enfermedades del sistema genitourinario ,5787.0
Enfermedades infecciosas y parasitarias ,3804.0
Enfermedades del aparato digestivo,3528.0
"Enfermedades endocrinas, nutricionales y metabólicas ",2207.0
Enfermedades de la piel y del tejido subcutáneo ,1616.0
Tumores ,1241.0
Enfermedades del sistema nervioso y de los órganos de los sentidos  ,1180.0
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",590.0
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",532.0
Trastornos mentales,274.0
Enfermedades del sistema osteomuscular y del tejido conjuntivo,141.0
"Embarazo, parto y puerperio ",-106.0
"Malformaciones congénitas, deformidades y anomalías cromosómicas ",-1212.0
Accidentes y causas externas,-1342.0
Afecciones originadas en el periodo perinatal ,-2294.0
